"path","bytes","status","error"
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_offset_2_pico.csv","76121","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_offset_3_pico.csv","75969","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_step_fall_1_pico.csv","75530","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_step_fall_2_pico.csv","75162","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_step_fall_3_pico.csv","75203","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_step_rise_1_pico.csv","77999","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_step_rise_2_pico.csv","77818","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_step_rise_3_pico.csv","77639","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_zero_baseline_pico.csv","76371","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_hf2_raw.csv","785779","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_pico_rapid.csv","1136439","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_r1_hf2_raw.csv","327842","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_r1_pico_rapid.csv","1136715","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_r2_hf2_raw.csv","42693626","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_r2_pico_rapid.csv","1217124","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_r3_hf2_raw.csv","44072722","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_r3_pico_rapid.csv","1217083","DELETED",""
"campaigns/instrument_readiness_001/phases/MC-01/__pycache__/apply_continuation_safe_idle.cpython-312.pyc","3661","DELETED",""
"campaigns/instrument_readiness_001/phases/MC-01/__pycache__/apply_final_t660_safe_idle.cpython-312.pyc","3541","DELETED",""
"campaigns/instrument_readiness_001/phases/MC-01/__pycache__/apply_resumed_final_safe_idle.cpython-312.pyc","3504","DELETED",""
"campaigns/instrument_readiness_001/phases/MC-01/__pycache__/apply_t660_safe_idle.cpython-312.pyc","3582","DELETED",""
"campaigns/instrument_readiness_001/phases/MC-01/__pycache__/apply_t660_safe_idle_after_config.cpython-312.pyc","3609","DELETED",""
"campaigns/instrument_readiness_001/phases/MC-01/__pycache__/build_closeout_indexes.cpython-312.pyc","5500","DELETED",""
"campaigns/instrument_readiness_001/phases/MC-01/__pycache__/capture_dio_and_trigger.cpython-312.pyc","7627","DELETED",""
"campaigns/instrument_readiness_001/phases/MC-01/__pycache__/capture_raw_dio_and_trigger.cpython-312.pyc","7665","DELETED",""
"campaigns/instrument_readiness_001/phases/MC-01/__pycache__/fire_one_process_trigger.cpython-312.pyc","5972","DELETED",""
"campaigns/instrument_readiness_001/phases/MC-01/__pycache__/fire_one_started_process_trigger.cpython-312.pyc","6065","DELETED",""
"campaigns/instrument_readiness_001/phases/MC-01/__pycache__/qualify_sdk_controls.cpython-312.pyc","5047","DELETED",""
"campaigns/instrument_readiness_001/phases/MS-01/__pycache__/acquire_orientation.cpython-312.pyc","11431","DELETED",""
"campaigns/instrument_readiness_001/phases/MS-01/__pycache__/run_manual_preflight.cpython-312.pyc","5356","DELETED",""
"campaigns/instrument_readiness_001/phases/PT-01/__pycache__/run_preflight.cpython-312.pyc","5267","DELETED",""
"campaigns/instrument_readiness_001/phases/S0/__pycache__/run_s0.cpython-312.pyc","26677","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/__pycache__/acquire_step.cpython-312.pyc","14315","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/__pycache__/analyze_step.cpython-312.pyc","10931","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_001.csv","172528","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_002.csv","172505","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_003.csv","172595","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_004.csv","172592","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_005.csv","172653","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_006.csv","172770","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_007.csv","172435","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_008.csv","172183","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_009.csv","172726","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_010.csv","171899","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_011.csv","172136","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_012.csv","172546","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_013.csv","172357","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_014.csv","172031","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_015.csv","172549","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_016.csv","172041","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_017.csv","172129","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_018.csv","172041","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_019.csv","172363","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_020.csv","172501","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_021.csv","171900","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_022.csv","172033","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_023.csv","171967","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_024.csv","172316","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_025.csv","172343","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_026.csv","172072","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_027.csv","171625","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_028.csv","171877","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_029.csv","172187","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_030.csv","171643","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_031.csv","172036","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_032.csv","171963","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_033.csv","171619","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_034.csv","172083","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_035.csv","171913","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_036.csv","172035","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_037.csv","172252","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_038.csv","172188","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_039.csv","171931","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_040.csv","171786","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_041.csv","172061","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_042.csv","171981","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_043.csv","172165","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_044.csv","171891","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_045.csv","171787","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_046.csv","172217","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_047.csv","172097","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_048.csv","172551","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_049.csv","171951","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_050.csv","172179","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_051.csv","172334","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_052.csv","171655","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_053.csv","171835","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_054.csv","172021","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_055.csv","172081","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_056.csv","171922","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_057.csv","171853","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_058.csv","171909","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_059.csv","171757","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_060.csv","172477","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_061.csv","171984","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_062.csv","171778","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_063.csv","171893","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_064.csv","171653","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_065.csv","172255","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_066.csv","172073","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_067.csv","172120","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_068.csv","172335","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_069.csv","171748","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_070.csv","171783","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_071.csv","171875","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_072.csv","172099","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_073.csv","171678","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_074.csv","171886","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_075.csv","172159","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_076.csv","172546","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_077.csv","172003","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_078.csv","171644","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_079.csv","172019","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_080.csv","171785","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_081.csv","171602","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_082.csv","172306","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_083.csv","171862","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_084.csv","172060","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_085.csv","171873","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_086.csv","172215","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_087.csv","172091","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_088.csv","171969","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_089.csv","172067","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_090.csv","171601","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_091.csv","171426","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_092.csv","171811","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_093.csv","172089","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_094.csv","171891","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_095.csv","171581","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_096.csv","171564","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_097.csv","171020","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_098.csv","171605","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_099.csv","171672","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_100.csv","171734","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_101.csv","171993","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_102.csv","171946","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_103.csv","171949","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_104.csv","171373","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_105.csv","171468","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_106.csv","171537","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_107.csv","172094","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_108.csv","171269","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_109.csv","171572","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_110.csv","171501","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_111.csv","171620","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_112.csv","171225","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_113.csv","171425","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_114.csv","171989","DELETED",""
"campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_115.csv","171814","DELETED",""
