path,bytes,reason,source
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_offset_2_pico.csv,78176,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_offset_3_pico.csv,78196,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_step_fall_1_pico.csv,76161,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_step_fall_2_pico.csv,76119,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_step_fall_3_pico.csv,76079,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_step_rise_1_pico.csv,78293,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_step_rise_2_pico.csv,78240,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_step_rise_3_pico.csv,78393,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_zero_baseline_pico.csv,76227,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_hf2_raw.csv,1247613,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_offset_1_pico.csv,78214,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_offset_2_pico.csv,78285,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_offset_3_pico.csv,78210,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_offset_4_pico.csv,78211,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_step_fall_1_pico.csv,76141,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_step_fall_2_pico.csv,75988,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_step_fall_3_pico.csv,76068,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_step_rise_1_pico.csv,78410,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_step_rise_2_pico.csv,78377,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_step_rise_3_pico.csv,78206,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_zero_baseline_pico.csv,76018,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_hf2_raw.csv,97069,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_offset_1_pico.csv,77286,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_offset_2_pico.csv,76121,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_offset_3_pico.csv,75969,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_step_fall_1_pico.csv,75530,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_step_fall_2_pico.csv,75162,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_step_fall_3_pico.csv,75203,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_step_rise_1_pico.csv,77999,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_step_rise_2_pico.csv,77818,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_step_rise_3_pico.csv,77639,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_zero_baseline_pico.csv,76371,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_hf2_raw.csv,785779,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_pico_rapid.csv,1136439,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_r1_hf2_raw.csv,327842,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_r1_pico_rapid.csv,1136715,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_r2_hf2_raw.csv,42693626,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_r2_pico_rapid.csv,1217124,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_r3_hf2_raw.csv,44072722,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_timing10_r3_pico_rapid.csv,1217083,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/MC-01/__pycache__/apply_continuation_safe_idle.cpython-312.pyc,3661,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/MC-01/__pycache__/apply_final_t660_safe_idle.cpython-312.pyc,3541,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/MC-01/__pycache__/apply_resumed_final_safe_idle.cpython-312.pyc,3504,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/MC-01/__pycache__/apply_t660_safe_idle.cpython-312.pyc,3582,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/MC-01/__pycache__/apply_t660_safe_idle_after_config.cpython-312.pyc,3609,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/MC-01/__pycache__/build_closeout_indexes.cpython-312.pyc,5500,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/MC-01/__pycache__/capture_dio_and_trigger.cpython-312.pyc,7627,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/MC-01/__pycache__/capture_raw_dio_and_trigger.cpython-312.pyc,7665,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/MC-01/__pycache__/fire_one_process_trigger.cpython-312.pyc,5972,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/MC-01/__pycache__/fire_one_started_process_trigger.cpython-312.pyc,6065,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/MC-01/__pycache__/qualify_sdk_controls.cpython-312.pyc,5047,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/MS-01/__pycache__/acquire_orientation.cpython-312.pyc,11431,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/MS-01/__pycache__/run_manual_preflight.cpython-312.pyc,5356,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/PT-01/__pycache__/run_preflight.cpython-312.pyc,5267,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/S0/__pycache__/run_s0.cpython-312.pyc,26677,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/T1-01/__pycache__/acquire_step.cpython-312.pyc,14315,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/T1-01/__pycache__/analyze_step.cpython-312.pyc,10931,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_001.csv,172528,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_002.csv,172505,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_003.csv,172595,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_004.csv,172592,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_005.csv,172653,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_006.csv,172770,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_007.csv,172435,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_008.csv,172183,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_009.csv,172726,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_010.csv,171899,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_011.csv,172136,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_012.csv,172546,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_013.csv,172357,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_014.csv,172031,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_015.csv,172549,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_016.csv,172041,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_017.csv,172129,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_018.csv,172041,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_019.csv,172363,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_020.csv,172501,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_021.csv,171900,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_022.csv,172033,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_023.csv,171967,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_024.csv,172316,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_025.csv,172343,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_026.csv,172072,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_027.csv,171625,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_028.csv,171877,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_029.csv,172187,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_030.csv,171643,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_031.csv,172036,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_032.csv,171963,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_033.csv,171619,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_034.csv,172083,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_035.csv,171913,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_036.csv,172035,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_037.csv,172252,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_038.csv,172188,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_039.csv,171931,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_040.csv,171786,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
campaigns/instrument_readiness_001/phases/T1-01/setup_1_extref_to_fire/rejected_initial_wiring/raw/0ns/attempt_041.csv,172061,300 rejected initial-wiring traces; zero accepted at this setup,"campaigns/instrument_readiness_001/phases/T1-01/procedural_writeup.md, rejected_initial_wiring/status.json"
